ZYDUSLIFE, Zydus Lifesciences Ltd
ZFCVINDIA, ZF Commercial Vehicle Control Systems India Ltd.
ZENTEC, Zen Technologies Ltd
ZENSARTECH, Zensar Technologies Ltd
ZEEL, Zee Entertainment Enterprises Ltd
YESBANK, Yes Bank Ltd
WOCKPHARMA, Wockhardt Ltd
WIPRO, Wipro Ltd
WHIRLPOOL, Whirlpool of India Ltd
WESTLIFE, Westlife Foodworld Ltd
WELSPUNLIV, Welspun Living Ltd
WELCORP, Welspun Corp Ltd
WAAREEENER, Waaree Energies Ltd
VTL, Vardhman Textiles Ltd
VOLTAS, Voltas Ltd
VMM, Vishal Mega Mart Ltd
VIJAYA, Vijaya Diagnostic Centre Ltd
VGUARD, V-Guard Industries Ltd
VEDL, Vedanta Ltd
VBL, Varun Beverages Ltd
UTIAMC, UTI Asset Management Company Ltd
USHAMART, Usha Martin Ltd
UPL, UPL Ltd
UNOMINDA, Uno Minda Ltd
UNITDSPR, Unit DSP Ltd
UNIONBANK, Union Bank of India
ULTRACEMCO, UltraTech Cement Ltd
UCOBANK, UCO Bank
UBL, UBL Ltd
TVSMOTOR, TVS Motor Company Ltd
TTML, Tata Teleservices (Maharashtra) Ltd
TRIVENI, Triveni Engineering & Industries Ltd
TRITURBINE, Triveni Turbine Ltd
TRIDENT, Trident Ltd
TRENT, Trent Ltd
TORNTPOWER, Torrent Power Ltd
TORNTPHARM, Torrent Pharmaceuticals Ltd
TITAN, Titan Company Ltd
TITAGARH, Titagarh Wagons Ltd
TIMKEN, Timken India Ltd
TIINDIA, Tube Investments of India Ltd
THERMAX, Thermax Ltd
TEJASNET, Tejas Networks Ltd
TECHNOE, Techno Electric & Engineering Company Ltd
TECHM, Tech Mahindra Ltd
TCS, Tata Consultancy Services Ltd
TBOTEK, T B Texo Ltd
TATATECH, Tata Technologies Ltd
TATASTEEL, Tata Steel Ltd
TATAPOWER, Tata Power Company Ltd
TATAMOTORS, Tata Motors Ltd
TATAINVEST, Tata Investment Corporation Ltd
TATAELXSI, Tata Elxsi Ltd
TATACONSUM, Tata Consumer Products Ltd
TATACOMM, Tata Communications Ltd
TATACHEM, Tata Chemicals Ltd
TARIL, Tarapur Transformers Ltd
TANLA, Tanla Platforms Ltd
SYRMA, Syrma SGS Technology Ltd
SYNGENE, Syngene International Ltd
SWSOLAR, Swelect Energy Systems Ltd
SWIGGY, Swiggy (Note: This is not directly listed on NSE)
SWANENERGY, Swan Energy Ltd
SUZLON, Suzlon Energy Ltd
SUPREMEIND, Supreme Industries Ltd
SUNTV, Sun TV Network Ltd
SUNPHARMA, Sun Pharmaceuticals Industries Ltd
SUNDRMFAST, Sundaram Fasteners Ltd
SUNDARMFIN, Sundaram Finance Ltd
SUMICHEM, Sumitomo Chemical India Ltd
STARHEALTH, Star Health and Allied Insurance Company Ltd
SRF, SRF Ltd
SONATSOFTW, Sonata Software Ltd
SONACOMS, Sonata Commerz Ltd
SOLARINDS, Solar Industries India Ltd
SOBHA, Sobha Ltd
SKFINDIA, SKF India Ltd
SJVN, SJVN Ltd
SIGNATURE, Signature Global (India) Ltd
SIEMENS, Siemens Ltd
SHYAMMETL, Shyam Metalics & Energy Ltd
SHRIRAMFIN, Shriram Finance Ltd
SHREECEM, Shree Cement Ltd
SCI, Shipping Corporation of India Ltd
SCHNEIDER, Schneider Electric Infrastructure Ltd
SCHAEFFLER, Schaeffler India Ltd
SBIN, State Bank of India
SBILIFE, SBI Life Insurance Company Ltd
SBICARD, SBI Cards and Payment Services Ltd
SBFC, SBI Funds Management Private Ltd
SAREGAMA, Saregama India Ltd
SARDAEN, Sarda Energy & Minerals Ltd
SAPPHIRE, Sapphire Foods India Ltd
SAMMAANCAP, Sammaan Capital Ltd
SAILIFE, SAIL Life Insurance Ltd
SAIL, Steel Authority of India Ltd
SAGILITY, Sagility Ltd
RVNL, Rail Vikas Nigam Ltd
RTNINDIA, RTN India Ltd
RRKABEL, RR Kabel Ltd
RPOWER, Reliance Power Ltd
ROUTE, Route Mobile Ltd
RKFORGE, R.K.Forge Ltd
RITES, Rites Ltd
RHIM, RHI Magnesita India Ltd
RENUKA, Renuka Sugars Ltd
RELIANCE, Reliance Industries Ltd
REDINGTON, Redington (India) Ltd
RECLTD, REC Ltd
RCF, Rashtriya Chemicals & Fertilizers Ltd
RBLBANK, RBL Bank Ltd
RAYMONDLSL, Raymond Ltd
RAYMOND, Raymond Ltd
RAMCOCEM, Ramco Cements Ltd
RAINBOW, Rainbow Papers Ltd
RAILTEL, RailTel Corporation of India Ltd
RADICO, Radico Khaitan Ltd
PVRINOX, PVR Inox Ltd
PTCIL, Power Transmission Corporation of India Ltd
PRESTIGE, Prestige Estates Projects Ltd
PREMIERENE, Premier Energies Ltd
PRAJIND, Praj Industries Ltd
PPLPHARMA, PPL Pharma Ltd
POWERINDIA, Power Mech Projects Ltd
POWERGRID, Power Grid Corporation of India Ltd
POONAWALLA, Poonawalla Fincorp Ltd
POLYMED, Polycab India Ltd
POLYCAB, Polycab India Ltd
POLICYBZR, Policy Bazaar (Note: This is not directly listed on NSE)
PNCINFRA, PNC Infratech Ltd
PNBHOUSING, Punjab National Bank Housing Finance Ltd
PNB, Punjab National Bank
PIIND, PI Industries Ltd
PIDILITIND, Pidilite Industries Ltd
PHOENIXLTD, Phoenix Mills Ltd
PGEL, Power Grid Corporation of India Ltd
PFIZER, Pfizer Ltd
PFC, Power Finance Corporation Ltd
PETRONET, Petronet LNG Ltd
PERSISTENT, Persistent Systems Ltd
PEL, Prince Pipes and Fittings Ltd
PCBL, Parag Milk Foods Ltd
PAYTM, One97 Communications Ltd
PATANJALI, Patanjali Ayurved Ltd
PAGEIND, Page Industries Ltd
ONGC, Oil and Natural Gas Corporation Ltd
OLECTRA, Olectra Greentech Ltd
OLAELEC, Oriental Bank of Commerce
OIL, Oil India Ltd
OFSS, Oracle Financial Services Software Ltd
OBEROIRLTY, Oberoi Realty Ltd
NYKAA, Nykaa (Note: This is not directly listed on NSE)
NUVAMA, Nuvama Investments Ltd
NTPCGREEN, NTPC Green Energy Ltd
NTPC, NTPC Ltd
NSLNISP, NSL Sugar Ltd
NMDC, NMDC Ltd
NLCINDIA, NLC India Ltd
